Senat,Entscheidungsdatum,Einspieldatum,Aktenzeichen,Zusatzinformationen
II. Zivilsenat,9.1.2024,21.2.2024,II ZR 65/23,Leitsatzentscheidung
II. Zivilsenat,17.10.2023,21.2.2024,II ZR 72/22,Leitsatzentscheidung
IX. Zivilsenat,23.11.2023,21.2.2024,IX ZB 29/22,Leitsatzentscheidung
Kartellsenat,20.2.2024,21.2.2024,KVB 69/23,"siehe auch: Pressemitteilung Nr. 33/24  vom 21.2.2024,
     Pressemitteilung Nr. 23/24  vom 7.2.2024"
V. Zivilsenat,11.1.2024,21.2.2024,V ZA 6/23,
VIa. Zivilsenat,23.1.2024,21.2.2024,VIa ZR 1290/22,
VII. Zivilsenat,27.9.2023,21.2.2024,VII ZR 12/23,
VII. Zivilsenat,27.9.2023,21.2.2024,VII ZR 13/23,
VII. Zivilsenat,27.9.2023,21.2.2024,VII ZR 14/23,
VII. Zivilsenat,27.9.2023,21.2.2024,VII ZR 15/23,
2. Strafsenat,15.1.2024,20.2.2024,2 StR 124/23,
2. Strafsenat,20.2.2024,20.2.2024,2 StR 468/22,siehe auch: Pressemitteilung Nr. 32/24  vom 20.2.2024
3. Strafsenat,14.12.2023,20.2.2024,3 StR 185/23,
3. Strafsenat,14.12.2023,20.2.2024,3 StR 225/23,
3. Strafsenat,14.11.2023,20.2.2024,3 StR 355/23,
3. Strafsenat,19.12.2023,20.2.2024,3 StR 411/23,
5. Strafsenat,31.1.2024,20.2.2024,5 StR 364/23,
6. Strafsenat,7.2.2024,20.2.2024,6 StR 346/23,
6. Strafsenat,24.1.2024,20.2.2024,6 StR 456/23,
6. Strafsenat,6.2.2024,20.2.2024,6 StR 525/23,
3. Strafsenat,23.1.2024,20.2.2024,AK 108/23,
I. Zivilsenat,19.12.2023,20.2.2024,I ZB 70/23,
II. Zivilsenat,2.1.2024,20.2.2024,II ZR 86/22,
IV. Zivilsenat,29.11.2023,20.2.2024,IV ZR 322/22,
IX. Zivilsenat,14.12.2023,20.2.2024,IX ZR 13/23,
IX. Zivilsenat,14.12.2023,20.2.2024,IX ZR 17/23,
V. Zivilsenat,11.1.2024,20.2.2024,V ZA 7/23,
VI. Zivilsenat,5.12.2023,20.2.2024,VI ZR 1214/20,Leitsatzentscheidung
VI. Zivilsenat,16.1.2024,20.2.2024,VI ZR 266/22,"Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 7/24  vom 16.1.2024"
VIa. Zivilsenat,30.1.2024,20.2.2024,VIa ZR 1297/22,
